Assuming rdf:type as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 70771 facts in 0.48 s using -100 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  carcinogenesis#amesTestPositive  ?b  ?a  carcinogenesis#salmonella  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.32460733	0.380368098	0.632653061	62	163	98	?a
?a  carcinogenesis#amesTestPositive  ?b  ?a  carcinogenesis#micronuc_m  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.010471204	0.5	1	2	4	2	?a
?a  carcinogenesis#mouse_lymph  ?b  ?a  carcinogenesis#salmonella_n  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.036649215	0.538461538	1	7	13	7	?a
?a  carcinogenesis#chromaberr  ?b  ?a  carcinogenesis#salmonella  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.036649215	0.4375	0.636363636	7	16	11	?a
?a  carcinogenesis#drosophila_rt  ?b  ?a  carcinogenesis#mouse_lymph  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.02617801	0.625	1	5	8	5	?a
?a  carcinogenesis#chromex  ?b  ?a  carcinogenesis#cytogen_ca  ?b   => ?a  carcinogenesis#salmonella  ?b	0.012658228	0.75	1	3	4	3	?a
?a  carcinogenesis#cytogen_ca  ?b  ?a  carcinogenesis#cytogen_sce  ?b   => ?a  carcinogenesis#salmonella  ?b	0.227848101	0.551020408	0.75	54	98	72	?a
?a  carcinogenesis#cytogen_ca  ?b  ?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.015706806	0.428571429	0.75	3	7	4	?a
?a  carcinogenesis#chromaberr  ?b  ?a  carcinogenesis#cytogen_sce  ?b   => ?a  carcinogenesis#salmonella  ?b	0.029535865	0.538461538	0.636363636	7	13	11	?a
?a  carcinogenesis#chromaberr  ?b  ?a  carcinogenesis#chromex  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.015706806	0.428571429	0.75	3	7	4	?a
?a  carcinogenesis#amesTestPositive  ?b  ?a  carcinogenesis#mouse_lymph  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.188481675	0.493150685	0.8	36	73	45	?a
?a  carcinogenesis#cytogen_sce  ?b  ?a  carcinogenesis#isMutagenic  ?b   => ?a  carcinogenesis#salmonella  ?b	0.122362869	0.475409836	0.617021277	29	61	47	?a
?a  carcinogenesis#amesTestPositive  ?b  ?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.015706806	0.333333333	1	3	9	3	?a
?a  carcinogenesis#chromex  ?b  ?a  carcinogenesis#mouse_lymph  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.031413613	0.666666667	0.857142857	6	9	7	?a
?a  carcinogenesis#chromaberr  ?b  ?a  carcinogenesis#mouse_lymph  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.020942408	0.4	0.8	4	10	5	?a
?a  carcinogenesis#drosophila_rt  ?b  ?a  carcinogenesis#drosophila_slrl  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.010471204	0.666666667	1	2	3	2	?a
?a  carcinogenesis#chromaberr  ?b  ?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.010471204	0.5	0.666666667	2	4	3	?a
?a  carcinogenesis#amesTestPositive  ?b  ?a  carcinogenesis#salmonella_n  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.062827225	0.428571429	0.8	12	28	15	?a
?a  carcinogenesis#amesTestPositive  ?b  ?a  carcinogenesis#chromaberr  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.041884817	0.470588235	0.727272727	8	17	11	?a
?a  carcinogenesis#chromex  ?b  ?a  carcinogenesis#drosophila_slrl  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.010471204	1	1	2	2	2	?a
?g  22-rdf-syntax-ns#type  ?b  ?g  carcinogenesis#hasStructure  ?a   => ?a  22-rdf-syntax-ns#type  ?b	0.045740561	0.388289676	0.388289676	1512	3894	3894	?a
?a  carcinogenesis#hasBond  ?h  ?h  carcinogenesis#inBond  ?b   => ?a  carcinogenesis#hasAtom  ?b	0.708720134	0.724148655	1	4657	6431	4657	?b
?g  22-rdf-syntax-ns#type  ?b  ?g  carcinogenesis#hasBond  ?a   => ?a  22-rdf-syntax-ns#type  ?b	0.108694337	0.353294002	0.381260611	3593	10170	9424	?a
?g  22-rdf-syntax-ns#type  ?b  ?g  carcinogenesis#hasAtom  ?a   => ?a  22-rdf-syntax-ns#type  ?b	0.109178364	0.360863914	0.384181392	3609	10001	9394	?a
?a  carcinogenesis#hasAtom  ?h  ?b  carcinogenesis#inBond  ?h   => ?a  carcinogenesis#hasBond  ?b	0.778869048	0.726339162	1	5234	7206	5234	?b
?g  22-rdf-syntax-ns#type  ?b  ?g  carcinogenesis#inBond  ?a   => ?a  22-rdf-syntax-ns#type  ?b	0.142606486	0.340828573	0.364127916	4714	13831	12946	?a
?h  22-rdf-syntax-ns#type  ?b  ?a  carcinogenesis#inBond  ?h   => ?a  22-rdf-syntax-ns#type  ?b	0.158155857	0.319306175	0.346891381	5228	16373	15071	?a
Mining done in 2.66 s
Total time 3.19 s
185 rules mined.
